Name,Created,Percent
English,"September 21, 2024 5:40 AM",100
French,"September 21, 2024 5:40 AM",85
Arabic,"September 21, 2024 5:40 AM",100
German,"September 21, 2024 5:40 AM",35
HTML & CSS & JS,"September 21, 2024 5:40 AM",90
Python & C++,"September 21, 2024 5:56 AM",75
Photoshop,"September 21, 2024 5:40 AM",60
After Effects,"September 21, 2024 5:40 AM",50
Figma,"September 21, 2024 5:40 AM",75
Electrical Circuits,"September 21, 2024 5:40 AM",80
Problem Solving,"September 21, 2024 5:57 AM",90
Analytical Thinking,"September 21, 2024 5:57 AM",90
